Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1742286734629,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,14.346656799316406,8.188095092773438,11.314453125,22.251747131347656,15.808319091796875,5.7841644287109375,13.8868408203125,6.719902038574219,6.883644104003906,2.8553085327148438,7.2766265869140625,2.5468902587890625,2504.6439819335938,4096,960,58,0,31318.723205566406,29041.88897705078,23.03448486328125,34156867584,10236112896,24861802496,2825998336
199,1742286734829,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,19.844932556152344,6.80426025390625,22.46942901611328,7.8379974365234375,13.285751342773438,11.569229125976563,12.245590209960938,5.1717071533203125,8.652076721191406,16.255958557128906,15.251594543457031,6.156929016113281,2504.9469604492188,4096,960,58,0,31319.41815185547,29042.274475097656,23.03448486328125,34156867584,10236112896,24862298112,2827513856
200,1742286735029,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,11.218406677246094,15.567192077636719,18.061492919921875,9.797561645507813,14.653717041015625,26.590652465820313,24.189186096191406,11.832427978515625,16.795974731445313,6.2496795654296875,18.665420532226563,20.290260314941406,2505.2565307617188,4096,960,58,0,31320.294372558594,29042.872436523438,23.03448486328125,34156867584,10236112896,24862572544,2826711040
199,1742286735230,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,13.363288879394531,5.1259918212890625,12.074409484863281,5.328041076660156,20.143150329589844,5.1189727783203125,16.421798706054688,3.8371047973632813,13.464340209960938,3.078399658203125,8.755851745605469,5.3708038330078125,2505.5729370117188,4096,960,58,0,31321.501220703125,29043.800354003906,23.03448486328125,34156867584,10236112896,24861683712,2825510912
200,1742286735430,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,6.058860778808594,18.533859252929688,14.136009216308594,5.902763366699219,32.91389465332031,3.5074920654296875,13.907859802246094,9.905937194824219,7.213188171386719,8.842880249023438,7.1846466064453125,5.330726623535156,2505.8888549804688,4096,960,58,0,31323.125549316406,29045.139770507813,23.036376953125,34156867584,10236112896,24861814784,2825682944
199,1742286735631,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,11.416404724121094,2.2891159057617188,14.451042175292969,25.892532348632813,9.580482482910156,3.8238296508789063,5.998992919921875,4.138420104980469,5.523048400878906,9.85211181640625,5.698211669921875,2.8986587524414063,2506.1928100585938,4096,960,58,0,31324.172302246094,29045.882385253906,23.036376953125,34156867584,10236112896,24861814784,2825682944
200,1742286735830,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,7.0765838623046875,4.097625732421875,8.383995056152344,6.897148132324219,9.713798522949219,6.795234680175781,4.8505401611328125,1.9321823120117188,4.191810607910156,4.251625061035156,4.643928527832031,2.0859756469726563,2506.4842529296875,4096,960,58,0,31325.296142578125,29046.988891601563,23.036376953125,34156867584,10236112896,24860844032,2824663040
200,1742286736031,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,8.420211791992188,6.67938232421875,10.798904418945313,3.6291885375976563,14.827102661132813,3.8157272338867188,8.101264953613281,3.7456893920898438,5.811187744140625,1.5509185791015625,7.106361389160156,1.93719482421875,2506.8013305664063,4096,960,58,0,31327.374755859375,29048.536010742188,23.036376953125,34156867584,10236112896,24861425664,2825334784
200,1742286736232,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,9.723365783691406,6.53631591796875,10.795013427734375,3.9192428588867188,18.110923767089844,3.1394882202148438,4.80731201171875,4.205230712890625,10.165451049804688,2.0904922485351563,6.87115478515625,3.1655807495117188,2507.1021728515625,4096,960,58,0,31328.531127929688,29049.401489257813,23.036376953125,34156867584,10236112896,24861396992,2825334784
200,1742286736432,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,15.361000061035156,16.605133056640625,12.019332885742188,5.925331115722656,23.1219482421875,2.2188186645507813,22.06165313720703,3.1411209106445313,11.373619079589844,9.775718688964844,7.930168151855469,6.6521148681640625,2507.4240112304688,4096,960,58,0,31330.639282226563,29051.218688964844,23.0389404296875,34156867584,10236112896,24858533888,2823172096
