Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,SYSTEM_ENERGY (J),DIFF_SYSTEM_ENERGY (J),SYSTEM_POWER (W)
202,6301,4056,4056,4056,4056,4056,4056,4056,4056,44.60482406616211,44.755367279052734,45.086944580078125,44.47317123413086,44.90474319458008,44.01142120361328,44.83157730102539,44.83517837524414,44.68024063110352,44.65681457519531,44.86806869506836,44.70826721191406,44.7514533996582,45.13953399658203,23.80952453613281,14.285715103149414,5.0,0.0,15.000000953674316,15.000000953674316,10.0,4.761904716491699,9.52213191986084,17179869184,0,9625927680,0,1.9234706478118897,0.019044263839721687,0.09427853386000834
199,6503,4056,4056,4056,4056,4056,4056,4056,4056,44.60482406616211,44.755367279052734,45.086944580078125,44.47317123413086,44.90474319458008,44.01142120361328,44.83157730102539,44.83517837524414,44.68024063110352,44.65681457519531,44.86806869506836,44.70826721191406,44.7514533996582,45.13953399658203,15.789472579956056,15.789472579956056,10.0,4.761904716491699,10.0,5.263157844543457,9.523809432983398,0.0,9.52213191986084,17179869184,0,9625255936,0,1.8949042520523072,-0.02856639575958253,-0.1435497274350881
201,6704,4056,4056,4056,4056,4056,4056,4056,4056,44.60482406616211,44.755367279052734,45.086944580078125,44.47317123413086,44.90474319458008,44.01142120361328,44.83157730102539,44.83517837524414,44.68024063110352,44.65681457519531,44.86806869506836,44.70826721191406,44.7514533996582,45.13953399658203,15.000000953674316,10.0,0.0,0.0,15.000000953674316,19.0476188659668,10.0,9.523809432983398,9.58738899230957,17179869184,0,9626402816,0,1.9270651874542237,0.03216093540191656,0.16000465374087838
200,6905,4056,4056,4056,4056,4056,4056,4056,4056,44.60482406616211,44.755367279052734,45.086944580078125,44.47317123413086,44.90474319458008,44.01142120361328,44.83157730102539,44.83517837524414,44.68024063110352,44.65681457519531,44.86806869506836,44.70826721191406,44.7514533996582,45.13953399658203,10.526315689086914,14.285715103149414,9.090909004211426,5.0,20.0,15.000000953674316,5.555555820465088,0.0,9.58738899230957,17179869184,0,9627975680,0,1.9174777984619142,-0.009587388992309487,-0.047936944961547434
200,7106,4056,4056,4056,4056,4056,4056,4056,4056,44.60482406616211,44.755367279052734,45.086944580078125,44.47317123413086,44.90474319458008,44.01142120361328,44.83157730102539,44.83517837524414,44.68024063110352,44.65681457519531,44.86806869506836,44.70826721191406,44.7514533996582,45.13953399658203,20.0,15.789472579956056,0.0,0.0,10.526315689086914,10.0,13.636363983154297,4.761904716491699,9.58738899230957,17179869184,0,9626157056,0,1.9174777984619142,0.0,0.0
201,7307,4056,4056,4056,4056,4056,4056,4056,4056,44.35560989379883,44.58201217651367,44.94915390014648,44.244873046875,44.72039413452149,43.90579605102539,44.62693786621094,44.63003540039063,44.472537994384766,44.437477111816406,44.67089080810547,44.50894165039063,44.60094833374024,44.95836639404297,25.0,20.0,9.523809432983398,5.0,19.0476188659668,15.000000953674316,10.526315689086914,5.0,9.58738899230957,17179869184,0,9629073408,0,1.9270651874542237,0.009587388992309487,0.04769845269805714
201,7509,4056,4056,4056,4056,4056,4056,4056,4056,44.35560989379883,44.58201217651367,44.94915390014648,44.244873046875,44.72039413452149,43.90579605102539,44.62693786621094,44.63003540039063,44.472537994384766,44.437477111816406,44.67089080810547,44.50894165039063,44.60094833374024,44.95836639404297,15.789472579956056,10.526315689086914,5.263157844543457,4.761904716491699,15.789472579956056,15.000000953674316,15.000000953674316,5.0,9.58738899230957,17179869184,0,9628483584,0,1.9270651874542237,0.0,0.0
201,7710,4056,4056,4056,4056,4056,4056,4056,4056,44.35560989379883,44.58201217651367,44.94915390014648,44.244873046875,44.72039413452149,43.90579605102539,44.62693786621094,44.63003540039063,44.472537994384766,44.437477111816406,44.67089080810547,44.50894165039063,44.60094833374024,44.95836639404297,15.000000953674316,14.285715103149414,14.285715103149414,5.0,19.0476188659668,15.000000953674316,14.285715103149414,0.0,9.403541564941406,17179869184,0,9628483584,0,1.8901118545532227,-0.036953332901001,-0.18384742736816417
201,7912,4056,4056,4056,4056,4056,4056,4056,4056,44.35560989379883,44.58201217651367,44.94915390014648,44.244873046875,44.72039413452149,43.90579605102539,44.62693786621094,44.63003540039063,44.472537994384766,44.437477111816406,44.67089080810547,44.50894165039063,44.60094833374024,44.95836639404297,45.0,31.57894515991211,25.0,20.0,15.000000953674316,15.000000953674316,5.263157844543457,9.523809432983398,9.403541564941406,17179869184,0,9625944064,0,1.8901118545532227,0.0,0.0
204,8113,4056,4056,4056,4056,4056,4056,4056,4056,44.35560989379883,44.58201217651367,44.94915390014648,44.244873046875,44.72039413452149,43.90579605102539,44.62693786621094,44.63003540039063,44.472537994384766,44.437477111816406,44.67089080810547,44.50894165039063,44.60094833374024,44.95836639404297,21.052631378173828,15.000000953674316,10.526315689086914,0.0,15.789472579956056,15.000000953674316,14.285715103149414,5.0,9.403541564941406,17179869184,0,9628549120,0,1.9183224792480467,0.028210624694823938,0.1382873759550193
